"","Date","barcode","longitude","latitude","site","siteLabel","plot_num","treatment","treatmentLabel","exclosure","exclosureLabel","paired","pairedLabel","number","plot","cluster","factorial","vwc","vwc_med","period","period_med","veg_type","veg_type_med","veg_level","veg_level_med","soil_temp","soil_temp_med","plotBC","clusterBC","season","seasonYear","MoYear","year","month","hour","minute","time","CT1","CT2","CT3","CT4","Ct_detects","positive"
"1","2021-04-19 16:55:00","AS07SN11",-119.6549475,35.08328973,1,"S",7,0,"S",0,"E",1,1,NA,"S07","S07SE1","SE",8.7,6.4,1.229,1.186,1,1,1,1,90,90,"S07","S07SN1","Spring","Spring_2021","2021-04",2021,4,16,55,16.9166666666667,NA,NA,NA,NA,0,0
"2","2021-04-19 17:05:00","AS07PE11",-119.655221,35.06577047,1,"S",7,1,"P",0,"E",1,1,NA,"S07","S07PE1","PE",4.1,6.2,1.139,1.181,1,1,1,1,81,87,"S07","S07PE1","Spring","Spring_2021","2021-04",2021,4,17,5,17.0833333333333,34.13,37.14,NA,NA,2,0
"3","2021-04-19 11:10:00","AS08PE11",-119.6802852,35.05927597,1,"S",8,1,"P",0,"E",1,1,NA,"S08","S08PE1","PE",5.8,5.8,1.176,1.176,1,1,3,3,73,73,"S08","S08PE1","Spring","Spring_2021","2021-04",2021,4,11,10,11.1666666666667,NA,NA,NA,NA,0,0
"4","2021-04-19 11:39:00","AS08SE11",-119.6800302,35.0587963,1,"S",8,0,"S",0,"E",1,1,NA,"S08","S08SE1","SE",9.2,10.7,1.244,1.275,1,1,3,3,74,73,"S08","S08SE1","Spring","Spring_2021","2021-04",2021,4,11,39,11.65,NA,NA,NA,NA,0,0
"5","2021-04-19 12:58:00","AS09PN21",-119.6858856,35.06105344,1,"S",9,1,"P",1,"N",0,2,NA,"S09","S09PN2","PN",11.8,9.9,1.282,1.251,1,1,1,1,85,82,"S09","S09PN2","Spring","Spring_2021","2021-04",2021,4,12,58,12.9666666666667,NA,NA,NA,NA,0,0
"6","2021-04-19 14:38:00","AS10SE11",-119.480762,34.98586131,1,"S",10,0,"S",0,"E",1,1,NA,"S10","S10SE1","SE",3.8,4.7,1.137,1.154,0,0,0,0,90,95,"S10","S10SE1","Spring","Spring_2021","2021-04",2021,4,14,38,14.6333333333333,NA,NA,NA,NA,0,0
"7","2021-04-19 16:36:00","AS07PN21",-119.6556041,35.0836777,1,"S",7,1,"P",1,"N",0,2,NA,"S07","S07PN2","PN",4.9,5.2,1.158,1.163,1,1,2,2,96,83,"S07","S07PN2","Spring","Spring_2021","2021-04",2021,4,16,36,16.6,35.64,37.07,39.81,38.37,4,1
"8","2021-04-19 09:43:00","AS08PN21",-119.6795472,35.05898989,1,"S",8,1,"P",1,"N",0,2,NA,"S08","S08PN2","PN",5.7,4.9,1.174,1.159,1,1,1,1,73,70,"S08","S08PN2","Spring","Spring_2021","2021-04",2021,4,9,43,9.71666666666667,NA,NA,NA,NA,0,0
"9","2021-04-19 14:08:00","AS10PN11",-119.6921527,35.06498,1,"S",10,1,"P",1,"N",1,1,NA,"S10","S10PN1","PN",5.3,5.3,1.171,1.171,2,2,1,1,86,80,"S10","S10PN1","Spring","Spring_2021","2021-04",2021,4,14,8,14.1333333333333,NA,NA,NA,NA,0,0
"10","2021-04-19 14:26:00","AS10SN11",-119.6921896,35.06494627,1,"S",10,0,"S",1,"N",1,1,NA,"S10","S10SN1","SN",7.5,6.9,1.213,1.202,2,2,1,1,81,81,"S10","S10SN1","Spring","Spring_2021","2021-04",2021,4,14,26,14.4333333333333,NA,NA,NA,NA,0,0
"11","2021-04-19 12:34:00","AS09PN11",-119.6857639,35.06167467,1,"S",9,1,"P",1,"N",1,1,NA,"S09","S09PN1","PN",2.6,2.9,1.109,1.116,1,1,2,2,92,89,"S09","S09PN1","Spring","Spring_2021","2021-04",2021,4,12,34,12.5666666666667,34.56,33.96,35.83,34.64,4,1
"12","2021-04-19 12:49:00","AS09SN11",-119.6858767,35.06172396,1,"S",9,0,"S",1,"N",1,1,NA,"S09","S09SN1","SN",0.9,4.9,1.068,1.162,1,1,1,1,86,76,"S09","S09SN1","Spring","Spring_2021","2021-04",2021,4,12,49,12.8166666666667,NA,NA,NA,NA,0,0
